,,,,,,,
Algorithm,InputType,ArraySize,IsSorted,SortType,IndexAccessCount,CompareCount,SwapCount
QuickSortMedian3BinaryInsert,Reversed,10000,TRUE,Partition,16680381,16700033,14860
QuickSortMedian9BinaryInsert,Reversed,10000,TRUE,Partition,90121,97266,6030
QuickDualPivotSortBinaryInsert,Reversed,10000,TRUE,Partition,24994944,24999936,14976
MergeSort,Reversed,10000,TRUE,Merge,148015,64608,133616
MergeSort2,Reversed,10000,TRUE,Merge,143615,69008,133616
ShiftSort,Reversed,10000,TRUE,Merge,242280,180856,4999
BucketSort,Reversed,10000,TRUE,Distributed,20000,10000,0
RadixLSD10Sort,Reversed,10000,TRUE,Distributed,80040,40000,0
RadixLSD4Sort,Reversed,10000,TRUE,Distributed,81750,0,0
CountingSort,Reversed,10000,TRUE,Distributed,39998,0,0
IntroSortMedian9,Reversed,10000,TRUE,Hybrid,90001,98184,5008
BubbleSort,Mountain,100,TRUE,Exchange,4950,4950,2450
OddEvenSort,Mountain,100,TRUE,Exchange,4950,4950,2450
CocktailShakerSort,Mountain,100,TRUE,Exchange,3333,3333,2450
CocktailShakerSort2,Mountain,100,TRUE,Exchange,4454,4454,2450
CombSort,Mountain,100,TRUE,Exchange,1195,1195,149
CycleSort,Mountain,100,TRUE,Exchange,14555,14602,98
GnomeSort,Mountain,100,TRUE,Exchange,2550,2450,2450
GnomeSort1,Mountain,100,TRUE,Exchange,4999,4999,2450
GnomeSort2,Mountain,100,TRUE,Exchange,2500,2549,2450
GnomeSort3,Mountain,100,TRUE,Exchange,5000,5000,2450
SelectionSort,Mountain,100,TRUE,Selection,4950,4950,100
HeapSort,Mountain,100,TRUE,Selection,767,1097,718
InsertSort,Mountain,100,TRUE,Insertion,2450,2450,2450
BinaryInsertSort,Mountain,100,TRUE,Insertion,3154,506,2549
ShellSort,Mountain,100,TRUE,Insertion,280,282,280
BinaryTreeSort,Mountain,100,TRUE,Insertion,100,2549,0
QuickSortMedian3,Mountain,100,TRUE,Partition,833,1125,209
QuickSortMedian9,Mountain,100,TRUE,Partition,324,1192,215
QuickDualPivotSort,Mountain,100,TRUE,Partition,592,1008,677
QuickSortMedian3Insert,Mountain,100,TRUE,Partition,682,692,133
QuickSortMedian9Insert,Mountain,100,TRUE,Partition,238,307,120
QuickDualPivotSortInsert,Mountain,100,TRUE,Partition,516,872,525
QuickSortMedian3BinaryInsert,Mountain,100,TRUE,Partition,775,752,144
QuickSortMedian9BinaryInsert,Mountain,100,TRUE,Partition,322,361,130
QuickDualPivotSortBinaryInsert,Mountain,100,TRUE,Partition,516,872,525
MergeSort,Mountain,100,TRUE,Merge,609,385,539
MergeSort2,Mountain,100,TRUE,Merge,771,385,672
ShiftSort,Mountain,100,TRUE,Merge,650,518,24
BucketSort,Mountain,100,TRUE,Distributed,200,100,0
RadixLSD10Sort,Mountain,100,TRUE,Distributed,425,200,0
RadixLSD4Sort,Mountain,100,TRUE,Distributed,2795,0,0
CountingSort,Mountain,100,TRUE,Distributed,349,0,0
IntroSortMedian9,Mountain,100,TRUE,Hybrid,203,273,104
BubbleSort,Mountain,1000,TRUE,Exchange,499500,499500,249500
OddEvenSort,Mountain,1000,TRUE,Exchange,499500,499500,249500
CocktailShakerSort,Mountain,1000,TRUE,Exchange,333333,333333,249500
CocktailShakerSort2,Mountain,1000,TRUE,Exchange,444554,444554,249500
CombSort,Mountain,1000,TRUE,Exchange,20705,20705,2339
CycleSort,Mountain,1000,TRUE,Exchange,1469567,1470038,998
GnomeSort,Mountain,1000,TRUE,Exchange,250500,249500,249500
GnomeSort1,Mountain,1000,TRUE,Exchange,499999,499999,249500
GnomeSort2,Mountain,1000,TRUE,Exchange,250000,250499,249500
GnomeSort3,Mountain,1000,TRUE,Exchange,500000,500000,249500
SelectionSort,Mountain,1000,TRUE,Selection,499500,499500,1000
HeapSort,Mountain,1000,TRUE,Selection,12495,19020,11996
InsertSort,Mountain,1000,TRUE,Insertion,249500,249500,249500
BinaryInsertSort,Mountain,1000,TRUE,Insertion,259784,8286,250499
ShellSort,Mountain,1000,TRUE,Insertion,3999,4821,3999
BinaryTreeSort,Mountain,1000,TRUE,Insertion,1000,250499,0
QuickSortMedian3,Mountain,1000,TRUE,Partition,19300,22289,2879
QuickSortMedian9,Mountain,1000,TRUE,Partition,5233,14039,2939
QuickDualPivotSort,Mountain,1000,TRUE,Partition,23130,32482,24040
QuickSortMedian3Insert,Mountain,1000,TRUE,Partition,17529,17775,1858
QuickSortMedian9Insert,Mountain,1000,TRUE,Partition,3971,4813,1701
QuickDualPivotSortInsert,Mountain,1000,TRUE,Partition,22690,31642,22840
QuickSortMedian3BinaryInsert,Mountain,1000,TRUE,Partition,17706,17907,1873
QuickSortMedian9BinaryInsert,Mountain,1000,TRUE,Partition,4086,4898,1711
QuickDualPivotSortBinaryInsert,Mountain,1000,TRUE,Partition,22690,31642,22840
MergeSort,Mountain,1000,TRUE,Merge,8316,5487,7760
MergeSort2,Mountain,1000,TRUE,Merge,10975,5487,9976
ShiftSort,Mountain,1000,TRUE,Merge,9735,7727,249
BucketSort,Mountain,1000,TRUE,Distributed,2000,1000,0
RadixLSD10Sort,Mountain,1000,TRUE,Distributed,6035,3000,0
RadixLSD4Sort,Mountain,1000,TRUE,Distributed,9788,0,0
CountingSort,Mountain,1000,TRUE,Distributed,3499,0,0
IntroSortMedian9,Mountain,1000,TRUE,Hybrid,3790,4610,1689
BubbleSort,Mountain,10000,TRUE,Exchange,49995000,49995000,24995000
OddEvenSort,Mountain,10000,TRUE,Exchange,49995000,49995000,24995000
CocktailShakerSort,Mountain,10000,TRUE,Exchange,33333333,33333333,24995000
CocktailShakerSort2,Mountain,10000,TRUE,Exchange,44445554,44445554,24995000
CombSort,Mountain,10000,TRUE,Exchange,296728,296728,32199
CycleSort,Mountain,10000,TRUE,Exchange,149649511,149654482,9998
GnomeSort,Mountain,10000,TRUE,Exchange,25005000,24995000,24995000
GnomeSort1,Mountain,10000,TRUE,Exchange,49999999,49999999,24995000
GnomeSort2,Mountain,10000,TRUE,Exchange,25000000,25004999,24995000
GnomeSort3,Mountain,10000,TRUE,Exchange,50000000,50000000,24995000
SelectionSort,Mountain,10000,TRUE,Selection,49995000,49995000,10000
HeapSort,Mountain,10000,TRUE,Selection,174291,272242,169292
InsertSort,Mountain,10000,TRUE,Insertion,24995000,24995000,24995000
BinaryInsertSort,Mountain,10000,TRUE,Insertion,25131333,116335,25004999
ShellSort,Mountain,10000,TRUE,Insertion,42065,75084,42065
BinaryTreeSort,Mountain,10000,TRUE,Insertion,10000,25004999,0
QuickSortMedian3,Mountain,10000,TRUE,Partition,367464,397449,36263
QuickSortMedian9,Mountain,10000,TRUE,Partition,71863,159750,37635
QuickDualPivotSort,Mountain,10000,TRUE,Partition,1046345,1181046,1055786
QuickSortMedian3Insert,Mountain,10000,TRUE,Partition,349626,352995,25417
QuickSortMedian9Insert,Mountain,10000,TRUE,Partition,58290,66258,24788
QuickDualPivotSortInsert,Mountain,10000,TRUE,Partition,1043966,1175344,1046000
QuickSortMedian3BinaryInsert,Mountain,10000,TRUE,Partition,349855,353179,25432
QuickSortMedian9BinaryInsert,Mountain,10000,TRUE,Partition,58441,66379,24798
QuickDualPivotSortBinaryInsert,Mountain,10000,TRUE,Partition,1043966,1175344,1046000
MergeSort,Mountain,10000,TRUE,Merge,111012,71807,103812
MergeSort2,Mountain,10000,TRUE,Merge,143615,71807,133616
ShiftSort,Mountain,10000,TRUE,Merge,131133,102885,2499
BucketSort,Mountain,10000,TRUE,Distributed,20000,10000,0
RadixLSD10Sort,Mountain,10000,TRUE,Distributed,80045,40000,0
RadixLSD4Sort,Mountain,10000,TRUE,Distributed,81770,0,0
CountingSort,Mountain,10000,TRUE,Distributed,34999,0,0
IntroSortMedian9,Mountain,10000,TRUE,Hybrid,56664,65097,24920
BubbleSort,NearlySorted,100,TRUE,Exchange,4950,4950,208
OddEvenSort,NearlySorted,100,TRUE,Exchange,2079,2079,208
CocktailShakerSort,NearlySorted,100,TRUE,Exchange,538,538,208
CocktailShakerSort2,NearlySorted,100,TRUE,Exchange,1629,1629,208
CombSort,NearlySorted,100,TRUE,Exchange,1195,1195,62
CycleSort,NearlySorted,100,TRUE,Exchange,6578,6525,43
GnomeSort,NearlySorted,100,TRUE,Exchange,308,208,208
GnomeSort1,NearlySorted,100,TRUE,Exchange,515,515,208
GnomeSort2,NearlySorted,100,TRUE,Exchange,298,307,208
GnomeSort3,NearlySorted,100,TRUE,Exchange,516,516,208
SelectionSort,NearlySorted,100,TRUE,Selection,4950,4950,100
HeapSort,NearlySorted,100,TRUE,Selection,974,1339,966
InsertSort,NearlySorted,100,TRUE,Insertion,208,208,208
BinaryInsertSort,NearlySorted,100,TRUE,Insertion,892,486,307
ShellSort,NearlySorted,100,TRUE,Insertion,80,282,80
BinaryTreeSort,NearlySorted,100,TRUE,Insertion,100,4727,0
QuickSortMedian3,NearlySorted,100,TRUE,Partition,1251,1541,124
QuickSortMedian9,NearlySorted,100,TRUE,Partition,499,1320,128
QuickDualPivotSort,NearlySorted,100,TRUE,Partition,1014,1130,203
QuickSortMedian3Insert,NearlySorted,100,TRUE,Partition,1034,1058,92
QuickSortMedian9Insert,NearlySorted,100,TRUE,Partition,325,352,68
QuickDualPivotSortInsert,NearlySorted,100,TRUE,Partition,893,955,84
QuickSortMedian3BinaryInsert,NearlySorted,100,TRUE,Partition,1136,1124,104
QuickSortMedian9BinaryInsert,NearlySorted,100,TRUE,Partition,410,407,78
QuickDualPivotSortBinaryInsert,NearlySorted,100,TRUE,Partition,893,955,84
MergeSort,NearlySorted,100,TRUE,Merge,464,378,387
MergeSort2,NearlySorted,100,TRUE,Merge,771,340,672
ShiftSort,NearlySorted,100,TRUE,Merge,197,180,1
BucketSort,NearlySorted,100,TRUE,Distributed,200,100,0
RadixLSD10Sort,NearlySorted,100,TRUE,Distributed,420,200,0
RadixLSD4Sort,NearlySorted,100,TRUE,Distributed,2754,0,0
CountingSort,NearlySorted,100,TRUE,Distributed,393,0,0
IntroSortMedian9,NearlySorted,100,TRUE,Hybrid,282,355,20
BubbleSort,NearlySorted,1000,TRUE,Exchange,499500,499500,3392
OddEvenSort,NearlySorted,1000,TRUE,Exchange,481518,481518,3392
CocktailShakerSort,NearlySorted,1000,TRUE,Exchange,8615,8615,3392
CocktailShakerSort2,NearlySorted,1000,TRUE,Exchange,19790,19790,3392
CombSort,NearlySorted,1000,TRUE,Exchange,20705,20705,1470
CycleSort,NearlySorted,1000,TRUE,Exchange,1218550,1218517,966
GnomeSort,NearlySorted,1000,TRUE,Exchange,4392,3392,3392
GnomeSort1,NearlySorted,1000,TRUE,Exchange,7783,7783,3392
GnomeSort2,NearlySorted,1000,TRUE,Exchange,4381,4391,3392
GnomeSort3,NearlySorted,1000,TRUE,Exchange,7784,7784,3392
SelectionSort,NearlySorted,1000,TRUE,Selection,499500,499500,1000
HeapSort,NearlySorted,1000,TRUE,Selection,16815,23771,16806
InsertSort,NearlySorted,1000,TRUE,Insertion,3392,3392,3392
BinaryInsertSort,NearlySorted,1000,TRUE,Insertion,13387,7997,4391
ShellSort,NearlySorted,1000,TRUE,Insertion,1772,4821,1772
BinaryTreeSort,NearlySorted,1000,TRUE,Insertion,1000,496104,0
QuickSortMedian3,NearlySorted,1000,TRUE,Partition,143630,146621,1385
QuickSortMedian9,NearlySorted,1000,TRUE,Partition,7974,16943,1519
QuickDualPivotSort,NearlySorted,1000,TRUE,Partition,22794,41039,23328
QuickSortMedian3Insert,NearlySorted,1000,TRUE,Partition,143476,144525,1038
QuickSortMedian9Insert,NearlySorted,1000,TRUE,Partition,5937,6572,355
QuickDualPivotSortInsert,NearlySorted,1000,TRUE,Partition,20802,38669,20556
QuickSortMedian3BinaryInsert,NearlySorted,1000,TRUE,Partition,143651,144655,1053
QuickSortMedian9BinaryInsert,NearlySorted,1000,TRUE,Partition,6045,6653,364
QuickDualPivotSortBinaryInsert,NearlySorted,1000,TRUE,Partition,20802,38669,20556
MergeSort,NearlySorted,1000,TRUE,Merge,6058,5091,5106
MergeSort2,NearlySorted,1000,TRUE,Merge,10975,4982,9976
ShiftSort,NearlySorted,1000,TRUE,Merge,2307,2290,1
BucketSort,NearlySorted,1000,TRUE,Distributed,2000,1000,0
RadixLSD10Sort,NearlySorted,1000,TRUE,Distributed,6030,3000,0
RadixLSD4Sort,NearlySorted,1000,TRUE,Distributed,9786,0,0
CountingSort,NearlySorted,1000,TRUE,Distributed,3989,0,0
IntroSortMedian9,NearlySorted,1000,TRUE,Hybrid,6086,6770,256
BubbleSort,NearlySorted,10000,TRUE,Exchange,49995000,49995000,62107
OddEvenSort,NearlySorted,10000,TRUE,Exchange,49745025,49745025,62107
CocktailShakerSort,NearlySorted,10000,TRUE,Exchange,141506,141506,62107
CocktailShakerSort2,NearlySorted,10000,TRUE,Exchange,219747,219747,62107
CombSort,NearlySorted,10000,TRUE,Exchange,296728,296728,19301
CycleSort,NearlySorted,10000,TRUE,Exchange,142370852,142370805,9948
GnomeSort,NearlySorted,10000,TRUE,Exchange,72107,62107,62107
GnomeSort1,NearlySorted,10000,TRUE,Exchange,134213,134213,62107
GnomeSort2,NearlySorted,10000,TRUE,Exchange,72096,72106,62107
GnomeSort3,NearlySorted,10000,TRUE,Exchange,134214,134214,62107
SelectionSort,NearlySorted,10000,TRUE,Selection,49995000,49995000,10000
HeapSort,NearlySorted,10000,TRUE,Selection,236883,340535,236874
InsertSort,NearlySorted,10000,TRUE,Insertion,62107,62107,62107
BinaryInsertSort,NearlySorted,10000,TRUE,Insertion,195737,113632,72106
ShellSort,NearlySorted,10000,TRUE,Insertion,23451,75084,23451
BinaryTreeSort,NearlySorted,10000,TRUE,Insertion,10000,49932883,0
QuickSortMedian3,NearlySorted,10000,TRUE,Partition,6231002,6260992,16280
QuickSortMedian9,NearlySorted,10000,TRUE,Partition,103508,190255,19143
QuickDualPivotSort,NearlySorted,10000,TRUE,Partition,662183,1184046,666955
QuickSortMedian3Insert,NearlySorted,10000,TRUE,Partition,6218436,6225727,9973
QuickSortMedian9Insert,NearlySorted,10000,TRUE,Partition,90275,97930,5691
QuickDualPivotSortInsert,NearlySorted,10000,TRUE,Partition,651490,1171656,651777
QuickSortMedian3BinaryInsert,NearlySorted,10000,TRUE,Partition,6218573,6225837,9982
QuickSortMedian9BinaryInsert,NearlySorted,10000,TRUE,Partition,90489,98102,5705
QuickDualPivotSortBinaryInsert,NearlySorted,10000,TRUE,Partition,651490,1171656,651777
MergeSort,NearlySorted,10000,TRUE,Merge,79022,69100,69115
MergeSort2,NearlySorted,10000,TRUE,Merge,143615,64705,133616
ShiftSort,NearlySorted,10000,TRUE,Merge,27530,27513,0
BucketSort,NearlySorted,10000,TRUE,Distributed,20000,10000,0
RadixLSD10Sort,NearlySorted,10000,TRUE,Distributed,80040,40000,0
RadixLSD4Sort,NearlySorted,10000,TRUE,Distributed,81750,0,0
CountingSort,NearlySorted,10000,TRUE,Distributed,39989,0,0
IntroSortMedian9,NearlySorted,10000,TRUE,Hybrid,90753,98050,5061
BubbleSort,Sorted,100,TRUE,Exchange,4950,4950,0
OddEvenSort,Sorted,100,TRUE,Exchange,99,99,0
CocktailShakerSort,Sorted,100,TRUE,Exchange,99,99,0
CocktailShakerSort2,Sorted,100,TRUE,Exchange,197,197,0
CombSort,Sorted,100,TRUE,Exchange,1096,1096,0
CycleSort,Sorted,100,TRUE,Exchange,5049,4950,0
GnomeSort,Sorted,100,TRUE,Exchange,100,0,0
GnomeSort1,Sorted,100,TRUE,Exchange,99,99,0
GnomeSort2,Sorted,100,TRUE,Exchange,99,99,0
GnomeSort3,Sorted,100,TRUE,Exchange,100,100,0
SelectionSort,Sorted,100,TRUE,Selection,4950,4950,100
HeapSort,Sorted,100,TRUE,Selection,959,1340,960
InsertSort,Sorted,100,TRUE,Insertion,0,0,0
BinaryInsertSort,Sorted,100,TRUE,Insertion,678,480,99
ShellSort,Sorted,100,TRUE,Insertion,0,282,0
BinaryTreeSort,Sorted,100,TRUE,Insertion,100,4950,0
QuickSortMedian3,Sorted,100,TRUE,Partition,1804,2094,99
QuickSortMedian9,Sorted,100,TRUE,Partition,573,1365,99
QuickDualPivotSort,Sorted,100,TRUE,Partition,2450,2500,100
QuickSortMedian3Insert,Sorted,100,TRUE,Partition,1503,1607,46
QuickSortMedian9Insert,Sorted,100,TRUE,Partition,300,360,7
QuickDualPivotSortInsert,Sorted,100,TRUE,Partition,2394,2436,84
QuickSortMedian3BinaryInsert,Sorted,100,TRUE,Partition,1623,1682,61
QuickSortMedian9BinaryInsert,Sorted,100,TRUE,Partition,388,415,18
QuickDualPivotSortBinaryInsert,Sorted,100,TRUE,Partition,2394,2436,84
MergeSort,Sorted,100,TRUE,Merge,455,356,356
MergeSort2,Sorted,100,TRUE,Merge,771,316,672
ShiftSort,Sorted,100,TRUE,Merge,99,99,0
BucketSort,Sorted,100,TRUE,Distributed,200,100,0
RadixLSD10Sort,Sorted,100,TRUE,Distributed,420,200,0
RadixLSD4Sort,Sorted,100,TRUE,Distributed,2745,0,0
CountingSort,Sorted,100,TRUE,Distributed,399,0,0
IntroSortMedian9,Sorted,100,TRUE,Hybrid,297,358,0
BubbleSort,Sorted,1000,TRUE,Exchange,499500,499500,0
OddEvenSort,Sorted,1000,TRUE,Exchange,999,999,0
CocktailShakerSort,Sorted,1000,TRUE,Exchange,999,999,0
CocktailShakerSort2,Sorted,1000,TRUE,Exchange,1997,1997,0
CombSort,Sorted,1000,TRUE,Exchange,19706,19706,0
CycleSort,Sorted,1000,TRUE,Exchange,500499,499500,0
GnomeSort,Sorted,1000,TRUE,Exchange,1000,0,0
GnomeSort1,Sorted,1000,TRUE,Exchange,999,999,0
GnomeSort2,Sorted,1000,TRUE,Exchange,999,999,0
GnomeSort3,Sorted,1000,TRUE,Exchange,1000,1000,0
SelectionSort,Sorted,1000,TRUE,Selection,499500,499500,1000
HeapSort,Sorted,1000,TRUE,Selection,15973,22961,15974
InsertSort,Sorted,1000,TRUE,Insertion,0,0,0
BinaryInsertSort,Sorted,1000,TRUE,Insertion,9985,7987,999
ShellSort,Sorted,1000,TRUE,Insertion,0,4821,0
BinaryTreeSort,Sorted,1000,TRUE,Insertion,1000,499500,0
QuickSortMedian3,Sorted,1000,TRUE,Partition,168126,171113,999
QuickSortMedian9,Sorted,1000,TRUE,Partition,8977,16969,999
QuickDualPivotSort,Sorted,1000,TRUE,Partition,249500,250000,1000
QuickSortMedian3Insert,Sorted,1000,TRUE,Partition,168239,170036,894
QuickSortMedian9Insert,Sorted,1000,TRUE,Partition,6000,6455,63
QuickDualPivotSortInsert,Sorted,1000,TRUE,Partition,249444,249936,984
QuickSortMedian3BinaryInsert,Sorted,1000,TRUE,Partition,168404,170156,909
QuickSortMedian9BinaryInsert,Sorted,1000,TRUE,Partition,6154,6567,77
QuickDualPivotSortBinaryInsert,Sorted,1000,TRUE,Partition,249444,249936,984
MergeSort,Sorted,1000,TRUE,Merge,6043,5044,5044
MergeSort2,Sorted,1000,TRUE,Merge,10975,4932,9976
ShiftSort,Sorted,1000,TRUE,Merge,999,999,0
BucketSort,Sorted,1000,TRUE,Distributed,2000,1000,0
RadixLSD10Sort,Sorted,1000,TRUE,Distributed,6030,3000,0
RadixLSD4Sort,Sorted,1000,TRUE,Distributed,9786,0,0
CountingSort,Sorted,1000,TRUE,Distributed,3999,0,0
IntroSortMedian9,Sorted,1000,TRUE,Hybrid,5994,6450,0
BubbleSort,Sorted,10000,TRUE,Exchange,49995000,49995000,0
OddEvenSort,Sorted,10000,TRUE,Exchange,9999,9999,0
CocktailShakerSort,Sorted,10000,TRUE,Exchange,9999,9999,0
CocktailShakerSort2,Sorted,10000,TRUE,Exchange,19997,19997,0
CombSort,Sorted,10000,TRUE,Exchange,286729,286729,0
CycleSort,Sorted,10000,TRUE,Exchange,50004999,49995000,0
GnomeSort,Sorted,10000,TRUE,Exchange,10000,0,0
GnomeSort1,Sorted,10000,TRUE,Exchange,9999,9999,0
GnomeSort2,Sorted,10000,TRUE,Exchange,9999,9999,0
GnomeSort3,Sorted,10000,TRUE,Exchange,10000,10000,0
SelectionSort,Sorted,10000,TRUE,Selection,49995000,49995000,10000
HeapSort,Sorted,10000,TRUE,Selection,227261,330893,227262
InsertSort,Sorted,10000,TRUE,Insertion,0,0,0
BinaryInsertSort,Sorted,10000,TRUE,Insertion,133629,113631,9999
ShellSort,Sorted,10000,TRUE,Insertion,0,75084,0
BinaryTreeSort,Sorted,10000,TRUE,Insertion,10000,49995000,0
QuickSortMedian3,Sorted,10000,TRUE,Partition,16681461,16711444,9999
QuickSortMedian9,Sorted,10000,TRUE,Partition,123617,203609,9999
QuickDualPivotSort,Sorted,10000,TRUE,Partition,24995000,25000000,10000
QuickSortMedian3Insert,Sorted,10000,TRUE,Partition,16690155,16709852,9846
QuickSortMedian9Insert,Sorted,10000,TRUE,Partition,100000,107169,1023
QuickDualPivotSortInsert,Sorted,10000,TRUE,Partition,24994944,24999936,9984
QuickSortMedian3BinaryInsert,Sorted,10000,TRUE,Partition,16690380,16710032,9861
QuickSortMedian9BinaryInsert,Sorted,10000,TRUE,Partition,100120,107265,1031
QuickDualPivotSortBinaryInsert,Sorted,10000,TRUE,Partition,24994944,24999936,9984
MergeSort,Sorted,10000,TRUE,Merge,79007,69008,69008
MergeSort2,Sorted,10000,TRUE,Merge,143615,64608,133616
ShiftSort,Sorted,10000,TRUE,Merge,9999,9999,0
BucketSort,Sorted,10000,TRUE,Distributed,20000,10000,0
RadixLSD10Sort,Sorted,10000,TRUE,Distributed,80040,40000,0
RadixLSD4Sort,Sorted,10000,TRUE,Distributed,81750,0,0
CountingSort,Sorted,10000,TRUE,Distributed,39999,0,0
IntroSortMedian9,Sorted,10000,TRUE,Hybrid,99990,107160,0
BubbleSort,SameValues,100,TRUE,Exchange,4950,4950,2329
OddEvenSort,SameValues,100,TRUE,Exchange,4455,4455,2329
CocktailShakerSort,SameValues,100,TRUE,Exchange,3326,3326,2329
CocktailShakerSort2,SameValues,100,TRUE,Exchange,4170,4170,2329
CombSort,SameValues,100,TRUE,Exchange,1195,1195,140
CycleSort,SameValues,100,TRUE,Exchange,12263,12619,88
GnomeSort,SameValues,100,TRUE,Exchange,2429,2329,2329
GnomeSort1,SameValues,100,TRUE,Exchange,4756,4756,2329
GnomeSort2,SameValues,100,TRUE,Exchange,2347,2427,2329
GnomeSort3,SameValues,100,TRUE,Exchange,4758,4758,2329
SelectionSort,SameValues,100,TRUE,Selection,4950,4950,100
HeapSort,SameValues,100,TRUE,Selection,661,1009,566
InsertSort,SameValues,100,TRUE,Insertion,2329,2329,2329
BinaryInsertSort,SameValues,100,TRUE,Insertion,3039,512,2428
ShellSort,SameValues,100,TRUE,Insertion,329,282,329
BinaryTreeSort,SameValues,100,TRUE,Insertion,100,886,0
QuickSortMedian3,SameValues,100,TRUE,Partition,277,562,261
QuickSortMedian9,SameValues,100,TRUE,Partition,182,1027,271
QuickDualPivotSort,SameValues,100,TRUE,Partition,415,490,226
QuickSortMedian3Insert,SameValues,100,TRUE,Partition,231,261,89
QuickSortMedian9Insert,SameValues,100,TRUE,Partition,123,192,94
QuickDualPivotSortInsert,SameValues,100,TRUE,Partition,299,354,177
QuickSortMedian3BinaryInsert,SameValues,100,TRUE,Partition,343,331,103
QuickSortMedian9BinaryInsert,SameValues,100,TRUE,Partition,187,232,102
QuickDualPivotSortBinaryInsert,SameValues,100,TRUE,Partition,299,354,177
MergeSort,SameValues,100,TRUE,Merge,544,535,624
MergeSort2,SameValues,100,TRUE,Merge,771,524,672
ShiftSort,SameValues,100,TRUE,Merge,866,642,13
BucketSort,SameValues,100,TRUE,Distributed,200,100,0
RadixLSD10Sort,SameValues,100,TRUE,Distributed,426,200,0
RadixLSD4Sort,SameValues,100,TRUE,Distributed,2835,0,0
CountingSort,SameValues,100,TRUE,Distributed,398,0,0
IntroSortMedian9,SameValues,100,TRUE,Hybrid,143,214,111
BubbleSort,SameValues,1000,TRUE,Exchange,499500,499500,230690
OddEvenSort,SameValues,1000,TRUE,Exchange,455544,455544,230690
CocktailShakerSort,SameValues,1000,TRUE,Exchange,323073,323073,230690
CocktailShakerSort2,SameValues,1000,TRUE,Exchange,376740,376740,230690
CombSort,SameValues,1000,TRUE,Exchange,20705,20705,1274
CycleSort,SameValues,1000,TRUE,Exchange,1265543,1305569,884
GnomeSort,SameValues,1000,TRUE,Exchange,231690,230690,230690
GnomeSort1,SameValues,1000,TRUE,Exchange,462377,462377,230690
GnomeSort2,SameValues,1000,TRUE,Exchange,230800,231687,230690
GnomeSort3,SameValues,1000,TRUE,Exchange,462380,462380,230690
SelectionSort,SameValues,1000,TRUE,Selection,499500,499500,1000
HeapSort,SameValues,1000,TRUE,Selection,9507,15931,8511
InsertSort,SameValues,1000,TRUE,Insertion,230690,230690,230690
BinaryInsertSort,SameValues,1000,TRUE,Insertion,241214,8526,231689
ShellSort,SameValues,1000,TRUE,Insertion,4119,4821,4119
BinaryTreeSort,SameValues,1000,TRUE,Insertion,1000,52758,0
QuickSortMedian3,SameValues,1000,TRUE,Partition,2134,5019,4293
QuickSortMedian9,SameValues,1000,TRUE,Partition,2024,10136,4301
QuickDualPivotSort,SameValues,1000,TRUE,Partition,5020,5751,1620
QuickSortMedian3Insert,SameValues,1000,TRUE,Partition,2137,2302,2348
QuickSortMedian9Insert,SameValues,1000,TRUE,Partition,2034,2729,2384
QuickDualPivotSortInsert,SameValues,1000,TRUE,Partition,5020,5751,1620
QuickSortMedian3BinaryInsert,SameValues,1000,TRUE,Partition,2214,2358,2355
QuickSortMedian9BinaryInsert,SameValues,1000,TRUE,Partition,2111,2785,2391
QuickDualPivotSortBinaryInsert,SameValues,1000,TRUE,Partition,5020,5751,1620
MergeSort,SameValues,1000,TRUE,Merge,7158,8396,9511
MergeSort2,SameValues,1000,TRUE,Merge,10975,8441,9976
ShiftSort,SameValues,1000,TRUE,Merge,14114,10316,130
BucketSort,SameValues,1000,TRUE,Distributed,2000,1000,0
RadixLSD10Sort,SameValues,1000,TRUE,Distributed,6039,3000,0
RadixLSD4Sort,SameValues,1000,TRUE,Distributed,10032,0,0
CountingSort,SameValues,1000,TRUE,Distributed,3965,0,0
IntroSortMedian9,SameValues,1000,TRUE,Hybrid,2173,2854,2307
BubbleSort,SameValues,10000,TRUE,Exchange,49995000,49995000,22450443
OddEvenSort,SameValues,10000,TRUE,Exchange,45005499,45005499,22450443
CocktailShakerSort,SameValues,10000,TRUE,Exchange,32010280,32010280,22450443
CocktailShakerSort2,SameValues,10000,TRUE,Exchange,37296720,37296720,22450443
CombSort,SameValues,10000,TRUE,Exchange,296728,296728,13103
CycleSort,SameValues,10000,TRUE,Exchange,126742580,130762800,9029
GnomeSort,SameValues,10000,TRUE,Exchange,22460443,22450443,22450443
GnomeSort1,SameValues,10000,TRUE,Exchange,44910883,44910883,22450443
GnomeSort2,SameValues,10000,TRUE,Exchange,22451441,22460440,22450443
GnomeSort3,SameValues,10000,TRUE,Exchange,44910886,44910886,22450443
SelectionSort,SameValues,10000,TRUE,Selection,49995000,49995000,10000
HeapSort,SameValues,10000,TRUE,Selection,125192,218639,115195
InsertSort,SameValues,10000,TRUE,Insertion,22450443,22450443,22450443
BinaryInsertSort,SameValues,10000,TRUE,Insertion,22588936,118495,22460442
ShellSort,SameValues,10000,TRUE,Insertion,36442,75084,36442
BinaryTreeSort,SameValues,10000,TRUE,Insertion,10000,5035636,0
QuickSortMedian3,SameValues,10000,TRUE,Partition,24416,53360,59578
QuickSortMedian9,SameValues,10000,TRUE,Partition,20811,100982,59878
QuickDualPivotSort,SameValues,10000,TRUE,Partition,37910,47784,19048
