,,,,,,,
Algorithm,InputType,ArraySize,IsSorted,SortType,IndexAccessCount,CompareCount,SwapCount
BucketSort,Random,10000,TRUE,Distributed,20000,10000,0
RadixLSD10Sort,Random,10000,TRUE,Distributed,80040,40000,0
RadixLSD4Sort,Random,10000,TRUE,Distributed,81750,0,0
CountingSort,Random,10000,TRUE,Distributed,39999,0,0
IntroSortMedian9,Random,10000,TRUE,Hybrid,60070,68887,24280
BubbleSort,MixRandom,100,TRUE,Exchange,4950,4950,2583
OddEvenSort,MixRandom,100,TRUE,Exchange,4455,4455,2583
CocktailShakerSort,MixRandom,100,TRUE,Exchange,3469,3469,2583
CocktailShakerSort2,MixRandom,100,TRUE,Exchange,4247,4247,2583
CombSort,MixRandom,100,TRUE,Exchange,1195,1195,229
CycleSort,MixRandom,100,TRUE,Exchange,14038,14071,99
GnomeSort,MixRandom,100,TRUE,Exchange,2683,2583,2583
GnomeSort1,MixRandom,100,TRUE,Exchange,5259,5259,2583
GnomeSort2,MixRandom,100,TRUE,Exchange,2582,2676,2583
GnomeSort3,MixRandom,100,TRUE,Exchange,5266,5266,2583
SelectionSort,MixRandom,100,TRUE,Selection,4950,4950,100
HeapSort,MixRandom,100,TRUE,Selection,706,1054,613
InsertSort,MixRandom,100,TRUE,Insertion,2583,2583,2583
BinaryInsertSort,MixRandom,100,TRUE,Insertion,3316,535,2682
ShellSort,MixRandom,100,TRUE,Insertion,486,282,486
BinaryTreeSort,MixRandom,100,TRUE,Insertion,100,607,0
QuickSortMedian3,MixRandom,100,TRUE,Partition,364,657,213
QuickSortMedian9,MixRandom,100,TRUE,Partition,292,1180,223
QuickDualPivotSort,MixRandom,100,TRUE,Partition,331,467,306
QuickSortMedian3Insert,MixRandom,100,TRUE,Partition,230,254,90
QuickSortMedian9Insert,MixRandom,100,TRUE,Partition,185,284,101
QuickDualPivotSortInsert,MixRandom,100,TRUE,Partition,219,300,172
QuickSortMedian3BinaryInsert,MixRandom,100,TRUE,Partition,263,275,94
QuickSortMedian9BinaryInsert,MixRandom,100,TRUE,Partition,229,313,106
QuickDualPivotSortBinaryInsert,MixRandom,100,TRUE,Partition,219,300,172
MergeSort,MixRandom,100,TRUE,Merge,543,531,619
MergeSort2,MixRandom,100,TRUE,Merge,771,537,672
ShiftSort,MixRandom,100,TRUE,Merge,893,673,16
BucketSort,MixRandom,100,TRUE,Distributed,200,100,0
RadixLSD10Sort,MixRandom,100,TRUE,Distributed,551,0,0
RadixLSD4Sort,MixRandom,100,TRUE,Distributed,3802,400,0
CountingSort,MixRandom,100,TRUE,Distributed,509,0,0
IntroSortMedian9,MixRandom,100,TRUE,Hybrid,190,252,108
BubbleSort,MixRandom,1000,TRUE,Exchange,499500,499500,252066
OddEvenSort,MixRandom,1000,TRUE,Exchange,496503,496503,252066
CocktailShakerSort,MixRandom,1000,TRUE,Exchange,336567,336567,252066
CocktailShakerSort2,MixRandom,1000,TRUE,Exchange,384540,384540,252066
CombSort,MixRandom,1000,TRUE,Exchange,20705,20705,4117
CycleSort,MixRandom,1000,TRUE,Exchange,1488934,1489430,1000
GnomeSort,MixRandom,1000,TRUE,Exchange,253066,252066,252066
GnomeSort1,MixRandom,1000,TRUE,Exchange,505127,505127,252066
GnomeSort2,MixRandom,1000,TRUE,Exchange,252071,253061,252066
GnomeSort3,MixRandom,1000,TRUE,Exchange,505132,505132,252066
SelectionSort,MixRandom,1000,TRUE,Selection,499500,499500,1000
HeapSort,MixRandom,1000,TRUE,Selection,10533,17203,9543
InsertSort,MixRandom,1000,TRUE,Insertion,252066,252066,252066
BinaryInsertSort,MixRandom,1000,TRUE,Insertion,262645,8581,253065
ShellSort,MixRandom,1000,TRUE,Insertion,9127,4821,9127
BinaryTreeSort,MixRandom,1000,TRUE,Insertion,1000,11301,0
QuickSortMedian3,MixRandom,1000,TRUE,Partition,7113,10102,2825
QuickSortMedian9,MixRandom,1000,TRUE,Partition,5316,14288,2940
QuickDualPivotSort,MixRandom,1000,TRUE,Partition,6229,9306,5067
QuickSortMedian3Insert,MixRandom,1000,TRUE,Partition,5612,5817,1666
QuickSortMedian9Insert,MixRandom,1000,TRUE,Partition,4122,5005,1618
QuickDualPivotSortInsert,MixRandom,1000,TRUE,Partition,5281,7701,3714
QuickSortMedian3BinaryInsert,MixRandom,1000,TRUE,Partition,5755,5924,1678
QuickSortMedian9BinaryInsert,MixRandom,1000,TRUE,Partition,4204,5066,1625
QuickDualPivotSortBinaryInsert,MixRandom,1000,TRUE,Partition,5281,7701,3714
MergeSort,MixRandom,1000,TRUE,Merge,6679,8719,9355
MergeSort2,MixRandom,1000,TRUE,Merge,10975,8719,9976
ShiftSort,MixRandom,1000,TRUE,Merge,15044,11135,188
BucketSort,MixRandom,1000,TRUE,Distributed,2000,1000,0
RadixLSD10Sort,MixRandom,1000,TRUE,Distributed,7073,0,0
RadixLSD4Sort,MixRandom,1000,TRUE,Distributed,10622,4000,0
CountingSort,MixRandom,1000,TRUE,Distributed,5006,0,0
IntroSortMedian9,MixRandom,1000,TRUE,Hybrid,3709,4623,1668
BubbleSort,MixRandom,10000,TRUE,Exchange,49995000,49995000,25024702
